ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,price_high
AEP,5,133.14,131.08,655.4,-10.3,-1.55,123.82,159.77,2026-03-04,-4.8,-0.73,132.04
AWK,4,136.455,135.23,540.91,-4.91,-0.9,126.9,163.75,2026-03-04,2.39,0.44,135.23
ROST,3,211.49,212.77,638.31,3.84,0.61,196.69,253.79,2026-03-04,-6.18,-0.96,214.83
CMS,7,78.32,76.76,537.32,-10.92,-1.99,72.84,93.98,2026-03-04,-3.08,-0.57,77.2
CRGY,50,11.33,11.93,596.5,30.0,5.3,10.54,13.6,2026-03-04,11.0,1.88,11.94
DTE,4,149.685,148.35,593.42,-5.32,-0.89,139.21,179.62,2026-03-04,-1.14,-0.19,148.64
DTM,4,141.985,142.74,570.96,3.02,0.53,132.05,170.38,2026-03-04,3.88,0.68,142.74
COP,10,115.31,118.04,1180.4,27.3,2.37,98.01,138.37,2026-03-04,12.2,1.04,118.04
CF,6,110.76,119.52,717.12,52.56,7.91,94.15,132.91,2026-03-05,52.44,7.89,119.52
VLO,2,227.98,226.29,452.58,-3.38,-0.74,193.78,273.58,2026-03-05,-3.48,-0.76,228.03
DAWN,1,12.78,21.17,21.17,8.39,65.61,10.86,15.34,2026-03-05,8.39,65.61,21.17
