ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,sector,price_high
VZ,1227,48.89,51.31,62951.24,2963.21,4.94,44.98,58.67,2026-02-26,128.83,0.21,Communication Services,51.31
EQIX,63,948.02,944.35,59494.05,-231.21,-0.39,872.18,1137.62,2026-02-26,-544.95,-0.91,Real Estate,953.0
O,900,66.6,64.89,58405.5,-1534.5,-2.56,61.27,79.92,2026-02-26,-994.5,-1.67,Real Estate,64.89
MSI,95,471.95,467.98,44458.57,-376.68,-0.84,434.19,566.34,2026-02-26,-971.38,-2.14,Technology,467.98
LHX,167,359.33,356.69,59567.23,-440.88,-0.73,330.58,431.2,2026-02-28,-569.47,-0.95,Industrials,361.35
LYV,375,160.55,159.89,59958.75,-247.5,-0.41,147.71,192.66,2026-02-28,468.75,0.79,Communication Services,159.89
PLD,250,142.74,137.59,34397.5,-1287.5,-3.61,131.32,171.29,2026-02-28,-457.5,-1.31,Real Estate,137.59
WELL,181,209.12,204.87,37081.43,-769.29,-2.03,192.39,250.94,2026-02-28,-358.42,-0.96,Real Estate,204.87
DE,25,629.71,589.45,14736.25,-1006.5,-6.39,579.33,755.65,2026-03-01,-614.75,-4.0,Industrials,589.45
CMCSA,5,30.96,31.6,158.0,3.2,2.07,28.48,37.15,2026-03-01,-2.45,-1.53,Communication Services,31.6
CHTR,15,234.63,228.05,3420.75,-98.7,-2.8,215.86,281.56,2026-03-01,-28.35,-0.82,Communication Services,229.68
