ticker,shares,avg_cost_basis,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,stop_loss,take_profit,entry_date,day_change,day_change_pct,sector,price_high
AEP,450,132.46,131.68,59258.25,-348.75,-0.59,123.19,158.95,2026-02-25,-83.25,-0.14,Utilities,132.3
CRGY,5819,10.31,11.99,69779.12,9785.23,16.31,9.59,12.37,2026-02-25,1347.68,1.97,Energy,12.12
SJM,694,116.0,109.89,76260.19,-4243.81,-5.27,107.88,139.2,2026-02-26,-919.55,-1.19,Consumer Defensive,111.34
ES,181,75.05,73.7,13339.7,-244.35,-1.8,69.8,90.06,2026-02-26,-133.94,-0.99,Utilities,74.61
ETR,571,105.73,104.07,59423.97,-947.86,-1.57,98.33,126.88,2026-02-26,-359.73,-0.6,Utilities,105.57
CMS,321,77.05,77.09,24745.89,12.84,0.05,71.66,92.46,2026-02-26,-22.47,-0.09,Utilities,77.25
DTE,336,146.59,148.55,49914.48,660.24,1.34,136.33,175.91,2026-02-26,-529.2,-1.05,Utilities,150.13
EXC,400,48.8,49.15,19662.0,142.0,0.73,45.38,58.56,2026-02-27,-82.0,-0.42,Utilities,49.36
MTDR,1479,54.12,57.01,84317.79,4274.31,5.34,50.33,64.94,2026-03-02,1020.51,1.23,Energy,57.85
EQIX,40,957.21,936.99,37479.8,-808.6,-2.11,890.21,1148.65,2026-03-03,-8.2,-0.02,Real Estate,953.0
MTZ,180,293.75,292.77,52699.5,-175.5,-0.33,273.19,352.5,2026-03-03,1289.7,2.51,Industrials,297.38
LNTH,716,76.0,77.87,55754.92,1338.92,2.46,70.68,91.2,2026-03-03,3801.96,7.32,Healthcare,77.87
ATO,438,183.88,184.76,80924.88,385.44,0.48,171.01,220.66,2026-03-03,-122.64,-0.15,Utilities,186.0
FE,400,50.78,50.81,20322.0,10.0,0.05,47.23,60.94,2026-03-04,-14.0,-0.07,Utilities,50.93
EOG,100,125.795,128.0100,12801.00,221.50,1.76,116.99,150.95,2026-03-04,180.0,1.37,Energy,133.82
ROST,281,211.97,209.09,58754.29,-809.28,-1.36,197.13,254.36,2026-03-04,-747.46,-1.26,Consumer Cyclical,214.83
LMT,4,655.04,673.84,2695.36,75.2,2.87,609.19,786.05,2026-03-05,8.28,0.31,,673.84
DLR,350,179.78,177.53,62135.5,-787.5,-1.25,167.2,215.74,2026-03-05,469.0,0.76,,180.36
DRDB,4293,10.45,10.45,44861.85,-0.0,-0.0,9.72,12.54,2026-03-06,42.93,0.1,Financial Services,10.45
HAFN,4133,7.29,7.55,31183.49,1053.92,3.5,6.78,8.75,2026-03-06,351.31,1.14,Industrials,7.55
CMU,1756,3.65,3.62,6365.5,-43.9,-0.68,3.39,4.38,2026-03-06,-26.34,-0.41,Financial Services,3.65
HYAC,3500,11.5,11.45,40075.0,-175.0,-0.43,10.69,13.8,2026-03-09,-175.0,-0.43,Financial Services,11.5
